speaker,utterance,word,cons,annotation,duration,start_time,end_time
d6,cf,2018_07_16_D6_stops_кIватан_плуг,т,cd,86.76949858089245,69.55378339126909,69.64055288984999
d6,cf,2018_07_16_D6_stops_кIватан_плуг,т,vot,47.328817407745305,69.64055288984999,69.68788170725773
d6,cf,2018_07_16_D6_stops_кIватан_плуг,,v2,108.85628003785541,69.68788170725773,69.79673798729559
d6,u1,2018_07_16_D6_stops_кIьапа_курдюк,,v1,176.5295663654598,72.76903995444951,72.94556952081497
d6,u1,2018_07_16_D6_stops_кIьапа_курдюк,п,cd,130.34450539775833,72.94556952081497,73.07591402621273
d6,u1,2018_07_16_D6_stops_кIьапа_курдюк,п,vot,56.44840784941607,73.07591402621273,73.13236243406215
d6,u1,2018_07_16_D6_stops_кIьапа_курдюк,,v2,95.44912599993438,73.13236243406215,73.22781156006208
d6,u2,2018_07_16_D6_stops_кIьапа_курдюк,,v1,147.3622894559412,73.89270023501535,74.0400625244713
d6,u2,2018_07_16_D6_stops_кIьапа_курдюк,п,cd,121.28567219330932,74.0400625244713,74.1613481966646
d6,u2,2018_07_16_D6_stops_кIьапа_курдюк,п,vot,56.56536680523061,74.1613481966646,74.21791356346984
d6,u2,2018_07_16_D6_stops_кIьапа_курдюк,,v2,120.68463360616022,74.21791356346984,74.338598197076
d6,u3,2018_07_16_D6_stops_кIьапа_курдюк,,v1,97.60817643858388,74.79479998682673,74.89240816326532
d6,u3,2018_07_16_D6_stops_кIьапа_курдюк,п,cd,133.59817425951803,74.89240816326532,75.02600633752483
d6,u3,2018_07_16_D6_stops_кIьапа_курдюк,п,vot,43.19239518535767,75.02600633752483,75.06919873271019
d6,u3,2018_07_16_D6_stops_кIьапа_курдюк,,v2,80.03296754935718,75.06919873271019,75.14923170025955
d6,cf,2018_07_16_D6_stops_кIьапа_курдюк,,v1,86.19231788080128,76.31469575456143,76.40088807244223
d6,cf,2018_07_16_D6_stops_кIьапа_курдюк,п,cd,50.48407190160731,76.40088807244223,76.45137214434384
d6,cf,2018_07_16_D6_stops_кIьапа_курдюк,п,vot,40.633521286665086,76.45137214434384,76.4920056656305
d6,cf,2018_07_16_D6_stops_кIьапа_курдюк,,v2,94.81154966887573,76.4920056656305,76.58681721529938
d6,u1,2018_07_16_D6_stops_къвапа_угол,,v1,135.99999999999568,79.52440816326532,79.66040816326532
d6,u1,2018_07_16_D6_stops_къвапа_угол,п,cd,132.1917776215571,79.66040816326532,79.79259994088687
d6,u1,2018_07_16_D6_stops_къвапа_угол,п,vot,46.00530389575397,79.79259994088687,79.83860524478263
d6,u1,2018_07_16_D6_stops_къвапа_угол,,v2,130.55559213661638,79.83860524478263,79.96916083691924
d6,u2,2018_07_16_D6_stops_къвапа_угол,,v1,147.96300442148436,80.61042305568923,80.75838606011071
d6,u2,2018_07_16_D6_stops_къвапа_угол,п,cd,111.90479325995284,80.75838606011071,80.87029085337066
d6,u2,2018_07_16_D6_stops_къвапа_угол,п,vot,64.65610277241751,80.87029085337066,80.93494695614308
d6,u2,2018_07_16_D6_stops_къвапа_угол,,v2,116.87833962706407,80.93494695614308,81.05182529577014
d6,u3,2018_07_16_D6_stops_къвапа_угол,,v1,146.26324157300985,81.63506855067011,81.78133179224312
d6,u3,2018_07_16_D6_stops_къвапа_угол,п,cd,126.03842202621252,81.78133179224312,81.90737021426934
d6,u3,2018_07_16_D6_stops_къвапа_угол,п,vot,53.4656234464137,81.90737021426934,81.96083583771575
d6,u3,2018_07_16_D6_stops_къвапа_угол,,v2,89.52383460797364,81.96083583771575,82.05035967232372
d6,cf,2018_07_16_D6_stops_къвапа_угол,,v1,69.53103500472935,83.18160211444791,83.25113314945264
d6,cf,2018_07_16_D6_stops_къвапа_угол,п,cd,99.48286546830332,83.25113314945264,83.35061601492095
d6,cf,2018_07_16_D6_stops_къвапа_угол,п,vot,27.812414001886054,83.35061601492095,83.37842842892283
d6,cf,2018_07_16_D6_stops_къвапа_угол,,v2,55.62482800378632,83.37842842892283,83.43405325692662
d6,u1,2018_07_16_D6_stops_къьатIа_слякотный,,v1,90.0453330073816,86.34181759212558,86.43186292513296
d6,u1,2018_07_16_D6_stops_къьатIа_слякотный,тI,cd,152.4961284802373,86.43186292513296,86.5843590536132
d6,u1,2018_07_16_D6_stops_къьатIа_слякотный,тI,vot,29.04688161528668,86.5843590536132,86.61340593522849
d6,u1,2018_07_16_D6_stops_къьатIа_слякотный,,v2,182.99535417627055,86.61340593522849,86.79640128940476
d6,u2,2018_07_16_D6_stops_къьатIа_слякотный,,v1,108.27901113347593,87.66060354777477,87.76888255890825
d6,u2,2018_07_16_D6_stops_къьатIа_слякотный,тI,cd,147.41600310945557,87.76888255890825,87.9162985620177
d6,u2,2018_07_16_D6_stops_къьатIа_слякотный,тI,vot,13.045663991988476,87.9162985620177,87.92934422600969
d6,u2,2018_07_16_D6_stops_къьатIа_слякотный,,v2,191.77126068218797,87.92934422600969,88.12111548669188
d6,u3,2018_07_16_D6_stops_къьатIа_слякотный,,v1,103.82672162114659,88.77937134170216,88.8831980633233
d6,u3,2018_07_16_D6_stops_къьатIа_слякотный,тI,cd,142.8626998710314,88.8831980633233,89.02606076319434
d6,u3,2018_07_16_D6_stops_къьатIа_слякотный,тI,vot,32.19398193205336,89.02606076319434,89.05825474512639
d6,u3,2018_07_16_D6_stops_къьатIа_слякотный,,v2,161.77651973526963,89.05825474512639,89.22003126486166
d6,cf,2018_07_16_D6_stops_къьатIа_слякотный,,v1,69.7619072847715,89.97508988133532,90.0448517886201
d6,cf,2018_07_16_D6_stops_къьатIа_слякотный,тI,cd,108.20214191106459,90.0448517886201,90.15305393053116
d6,cf,2018_07_16_D6_stops_къьатIа_слякотный,тI,vot,31.354232734159382,90.15305393053116,90.18440816326532
d6,cf,2018_07_16_D6_stops_къьатIа_слякотный,,v2,112.4407190160781,90.18440816326532,90.2968488822814
d6,u1,2018_07_16_D6_stops_кьатан,,v1,94.47293699147963,94.11527719183675,94.20975012882823
d6,u1,2018_07_16_D6_stops_кьатан,т,cd,105.43120659941962,94.20975012882823,94.31518133542765
d6,u1,2018_07_16_D6_stops_кьатан,т,vot,54.5632834668055,94.31518133542765,94.36974461889446
d6,u1,2018_07_16_D6_stops_кьатан,,v2,201.13593036897726,94.36974461889446,94.57088054926344
d6,u2,2018_07_16_D6_stops_кьатан,,v1,100.14381580532472,95.35380949128744,95.45395330709276
d6,u2,2018_07_16_D6_stops_кьатан,т,cd,117.3113270862558,95.45395330709276,95.57126463417902
d6,u2,2018_07_16_D6_stops_кьатан,т,vot,31.473770681671454,95.57126463417902,95.60273840486069
d6,u2,2018_07_16_D6_stops_кьатан,,v2,160.23010528853376,95.60273840486069,95.76296851014922
d6,u3,2018_07_16_D6_stops_кьатан,,v1,74.65232141645117,96.24479470596111,96.31944702737756
d6,u3,2018_07_16_D6_stops_кьатан,т,cd,124.56031250344779,96.31944702737756,96.44400733988101
d6,u3,2018_07_16_D6_stops_кьатан,т,vot,31.097719386153244,96.44400733988101,96.47510505926717
d6,u3,2018_07_16_D6_stops_кьатан,,v2,135.00951745527345,96.47510505926717,96.61011457672244
d6,cf,2018_07_16_D6_stops_кьатан,,v1,55.887115983054514,97.32206577260023,97.37795288858328
d6,cf,2018_07_16_D6_stops_кьатан,т,cd,115.9657656648676,97.37795288858328,97.49391865424815
d6,cf,2018_07_16_D6_stops_кьатан,т,vot,33.532269589827024,97.49391865424815,97.52745092383798
d6,cf,2018_07_16_D6_stops_кьатан,,v2,124.34883306232791,97.52745092383798,97.6517997569003
d6,u1,2018_07_16_D6_stops_махъа_рука,,v1,103.46711371806805,99.07494104954725,99.17840816326532
d6,u1,2018_07_16_D6_stops_махъа_рука,хъ,cd,95.51400870387283,99.17840816326532,99.27392217196919
